scenario,particle,side,tally_name,energy_low_eV,energy_high_eV,energy_mid_eV,energy_width_eV,dlog10_energy,raw_current_per_source,std_current_per_source,outward_current_per_source,leakage_rate_per_s,leakage_std_per_s,rel_unc_percent,source_strength_per_s,normal_flip_applied,leakage_rate_per_log10_energy,leakage_std_per_log10_energy,energy_group
full_geometry,neutron,y_min,neutron_energy_resolved_current_y_min,16374447.935279656,19952623.149688788,18075209.2363224,3578175.2144091316,0.08583333333333254,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,fast
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.001,0.0012185218841302,0.0011038667873118568,0.0002185218841302,0.08583333333333343,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.0012185218841302,0.0014847955821042124,0.0013450858375039943,0.0002662736979740124,0.08583333333333343,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.0014847955821042124,0.001809255910253822,0.0016390165290322153,0.00032446032814960964,0.08583333333333343,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.001809255910253822,0.0022046179206361848,0.0019971775090768746,0.00039536201038236274,0.08583333333333298,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.0022046179206361848,0.0026863751824408076,0.002433604501302811,0.0004817572618046229,0.08583333333333343,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.0026863751824408076,0.003273406948788383,0.0029654003421552377,0.0005870317663475753,0.08583333333333343,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.003273406948788383,0.0039887180027625094,0.00361340521212334,0.0007153110539741265,0.08583333333333343,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.0039887180027625094,0.004860340175990216,0.004403013327202414,0.0008716221732277063,0.08583333333333298,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.004860340175990216,0.005922430868761305,0.005365168095313064,0.0010620906927710895,0.08583333333333343,3.3333333333333334e-08,3.333333333333334e-08,3.3333333333333334e-08,0.4,0.4000000000000001,100.00000000000001,12000000.0,False,4.660194174757277,4.660194174757278,thermal
full_geometry,neutron,y_max,neutron_energy_resolved_current_y_max,0.005922430868761305,0.007216611620833884,0.006537574736176111,0.0012941807520725785,0.08583333333333343,0.0,0.0,0.0,0.0,0.0,,12000000.0,False,0.0,0.0,thermal
